INPUT-MOL-IDX,INPUT-MOL-SMI,GEN-MOL-SMI,LEAVING-FRAG-SMI,INSERTING-FRAG-SMI,PREDICTED-PROB,LOGP,MW,QED,SA,QED_DIFF,SA_DIFF,GEN-MOL-IDX,INPUT-MOL-DOCKED-SCORE,GEN-MOL-DOCKED-SCORE,SCORE_DIFF
81,CCC(CC)OC(C)C(O)C(OC(C1CCCC(CC)O1)C(O)C(=O)O)C(=O)NC,CCC(CC)OCC(=O)N(CC(=O)NC)C(C1CCCC(CC)O1)C(O)C(=O)O,[1*]C(=O)C(O[3*])C(O)C([4*])C,[1*]C(=O)CN([5*])C(=O)C[4*],0.0007812231779098,0.9280000000000016,416.2522514919999,0.4320079728945069,4.293597353560447,0.0913017346585158,-0.6664026464395523,17,-6.4,-6.1,0.3000000000000007
81,CCC(CC)OC(C)C(O)C(OC(C1CCCC(CC)O1)C(O)C(=O)O)C(=O)NC,CCC(CC)OCCCN(C(=O)NC)C(C1CCCC(CC)O1)C(O)C(=O)O,[1*]C(=O)C(O[3*])C(O)C([4*])C,[1*]C(=O)N([5*])CCC[4*],0.0007992481696419,2.3849000000000005,402.2729869359999,0.4326506334118878,4.305690303702818,0.0919443951758967,-0.6543096962971813,14,-6.4,-6.4,0.0
59,C=C/C=C/C(C)c1ccc(CCNC(C)CCOP(=O)(O)O)c(O)c1,C=C/C=C/C(C)c1ccc(CCNCc2cccc(CC(N)=O)c2)c(O)c1,[4*]C(C)CCOP(=O)(O)O,[4*]Cc1cccc(CC(N)=O)c1,7.326246850425377e-05,3.5980000000000008,364.21507813599993,0.4453280644133577,3.141131259478028,0.0923470187934854,-0.6488687405219729,62,-6.2,-6.1,0.10000000000000053
9,CC(O)CCOc1ccc(C2C=CNCC2)c(CC(=O)O)c1,O=C(O)Cc1cc(OCCc2ccccc2)ccc1C1C=CNCC1,[4*]CCC(C)O,[4*]CCc1ccccc1,0.0008308013784699,3.525800000000002,337.167793596,0.8114343181663367,3.051802568423714,0.0930375547030967,-0.6481974315762864,24,-6.5,-7.6,-1.0999999999999996
59,C=C/C=C/C(C)c1ccc(CCNC(C)CCOP(=O)(O)O)c(O)c1,CCC(=O)Cc1ccc(CCNC(C)CCOP(=O)(O)O)c(O)c1,[8*]C(C)/C=C/C=C,[8*]CC(=O)CC,5.021995821152814e-05,1.9338000000000009,359.1497741819999,0.4461897143787891,3.1475685376312708,0.0932086687589168,-0.6424314623687302,72,-6.2,-6.6,-0.39999999999999947
68,NC(CCC(=O)O)CC(CO)OC(C(=O)O)C1C=C(C(=O)O)C=CO1,NC(CCC(=O)O)CC(CO)OC(C(=O)O)n1ncccc1=O,[13*]C1C=C(C(=O)O)C=CO1,[9*]n1ncccc1=O,6.144728104118258e-05,-1.213799999999999,329.122299948,0.4115913614432642,4.050616634415529,0.0941213599868185,-0.6393833655844716,89,-5.9,-6.6,-0.6999999999999993
9,CC(O)CCOc1ccc(C2C=CNCC2)c(CC(=O)O)c1,O=C(O)Cc1cc(OCc2ccc(Cl)cc2)ccc1C1C=CNCC1,[4*]CCC(C)O,[4*]Cc1ccc(Cl)cc1,0.0008274496067315,4.136700000000003,357.11317118000005,0.8154554659526377,3.068038922480616,0.0970587024893977,-0.6319610775193842,31,-6.5,-7.4,-0.9000000000000004
58,NC(Cc1ccccc1)C(=O)OC(CCc1ccccc1)C(=O)O,NC(Cc1ccccc1)C(=O)OCCc1ccccc1,[4*]C(CC[8*])C(=O)O,[4*]CC[8*],0.0001743374305078,2.3423000000000007,269.141578848,0.8189203384994673,2.079399768167562,0.0934580546876859,-0.6306002318324371,36,-6.0,-5.5,0.5
12,CC(C)c1cccc(CC(CCC/C=C/C(=O)O)C(=O)O)c1,CC(C)c1cccc(CCOC(=O)C=CC(=O)O)c1,[7*]=CCCCC(C[8*])C(=O)O,[7*]=CC(=O)OCC[8*],0.0009130371036008,2.5365,262.120509056,0.6317712760721653,2.0996584109801404,0.0954548300837362,-0.6103415890198587,37,-5.9,-6.3,-0.39999999999999947
48,C=C/C=C/C1OC(C(NC(=O)O)C(=O)NCCC)C(O)[C@@](C)(C(=O)O)C1C(C)CC,C=C/C=C/C1OC(CCc2ccc(C(=O)NCCC)cc2)C(O)[C@@](C)(C(=O)O)C1C(C)CC,[1*]C(=O)C([8*])NC(=O)O,[1*]C(=O)c1ccc(CC[8*])cc1,4.721686491393484e-05,4.382700000000003,457.282823348,0.4286362331274624,4.390290639264014,0.0939048817035451,-0.5697093607359847,91,-6.4,-6.3,0.10000000000000053
28,CC(/C=C/c1ccccc1)N1CCC(CCCc2ccccc2C(N)=O)NC1,Cc1ccccc1C(=O)N1CCC(CCCc2ccccc2C(N)=O)NC1,[4*]C(C)/C=C/c1ccccc1,[1*]C(=O)c1ccccc1C,0.0002408846776233,2.87842,365.210327104,0.8264413187159004,2.878271989800337,0.0914770890858662,-0.5517280101996622,58,-7.4,-6.6,0.8000000000000007
28,CC(/C=C/c1ccccc1)N1CCC(CCCc2ccccc2C(N)=O)NC1,Cc1cccc(C(=O)N2CCC(CCCc3ccccc3C(N)=O)NC2)c1,[4*]C(C)/C=C/c1ccccc1,[1*]C(=O)c1cccc(C)c1,0.0002408792061032,2.87842,365.210327104,0.8264413187159003,2.880893768022116,0.0914770890858661,-0.5491062319778841,59,-7.4,-7.6,-0.1999999999999993
7,CC/C=C/C=C/CCNC(=O)OC(CC)C(Cc1ccccc1)C(=O)O,CC/C=C/C=C/CCNC(=O)C(OCC)c1ccccc1,[1*]C(=O)OC(CC)C(C[8*])C(=O)O,[1*]C(=O)C([8*])OCC,3.698691944009624e-05,3.792900000000002,287.18852904000005,0.5540640464631181,2.9949436144284505,0.0991429442251625,-0.52505638557155,92,-5.5,-4.7,0.7999999999999998
59,C=C/C=C/C(C)c1ccc(CCNC(C)CCOP(=O)(O)O)c(O)c1,C=CC=Cc1ccc(CCNC(C)CCOP(=O)(O)O)c(C)c1,[7*]=CC(C)c1ccc([16*])c(O)c1,[7*]=Cc1ccc([16*])c(C)c1,0.0022415183484554,3.214220000000002,339.159944942,0.4505432070605392,3.286341744992095,0.0975621614406668,-0.5036582550079061,10,-6.2,-6.2,0.0
59,C=C/C=C/C(C)c1ccc(CCNC(C)CCOP(=O)(O)O)c(O)c1,C=CC=Cc1ccc(CCNC(C)CCOP(=O)(O)O)cc1C,[7*]=CC(C)c1ccc([16*])c(O)c1,[7*]=Cc1ccc([16*])cc1C,0.0022515314631164,3.214220000000002,339.159944942,0.4505432070605392,3.288651635101983,0.0975621614406668,-0.5013483648980177,5,-6.2,-6.9,-0.7000000000000002
12,CC(C)c1cccc(CC(CCC/C=C/C(=O)O)C(=O)O)c1,CC(C)c1cccc(NC(=O)/C=C/C=C/C(=O)O)c1,[7*]=CCCCC(C[8*])C(=O)O,[5*]NC(=O)/C=C/C=[7*],0.0008860343368723,2.945500000000001,259.120843404,0.63077182725535,2.2161258666014394,0.0944553812669208,-0.4938741333985597,81,-5.9,-6.0,-0.09999999999999964
65,CCCCCCCCCCCCC(=O)NC(CC)C(=O)O,CCCCCCCCCCCCC(=O)NC(C)=O,[4*]C(CC)C(=O)O,[1*]C(C)=O,0.0004121963866055,3.9601000000000015,255.219829168,0.5679516842940399,1.8586975798380685,0.0974579397049494,-0.491302420161932,48,-5.0,-5.1,-0.09999999999999964
7,CC/C=C/C=C/CCNC(=O)OC(CC)C(Cc1ccccc1)C(=O)O,CC/C=C/C=C/CCNC(=O)O[C@@H](CC)c1ccccc1,[4*]C(CC)C(C[8*])C(=O)O,[4*][C@H]([8*])CC,5.61803208256606e-05,4.776400000000004,287.18852904000005,0.5518859749352175,3.0332213067361424,0.0969648726972619,-0.486778693263858,81,-5.5,-6.0,-0.5
7,CC/C=C/C=C/CCNC(=O)OC(CC)C(Cc1ccccc1)C(=O)O,CC/C=C/C=C/CCNC(=O)O[C@H](CC)c1ccccc1,[4*]C(CC)C(C[8*])C(=O)O,[4*][C@@H]([8*])CC,5.618467548629269e-05,4.776400000000004,287.18852904000005,0.5518859749352175,3.0332213067361424,0.0969648726972619,-0.486778693263858,80,-5.5,-5.1,0.40000000000000036
7,CC/C=C/C=C/CCNC(=O)OC(CC)C(Cc1ccccc1)C(=O)O,CC/C=C/C=C/CCNC(=O)OC(CC)c1ccccc1,[4*]C(CC)C(C[8*])C(=O)O,[4*]C([8*])CC,5.6231827329611406e-05,4.776400000000004,287.18852904000005,0.5518859749352175,3.0332213067361424,0.0969648726972619,-0.486778693263858,76,-5.5,-6.0,-0.5
35,C/C=C1/CCOCC(C2O[C@@]3(CCC2O)OC(CO)C(OC(=O)C(O)CC)C3O)O1,C/C=C1/CCOCC(C2O[C@@]3(CCC2O)OC(CO)C(C(=O)Nc2ccc(Cl)cc2)C3O)O1,[3*]OC(=O)C(O)CC,[6*]C(=O)Nc1ccc(Cl)cc1,4.934264507028274e-05,1.5921999999999998,483.1659946,0.5083167676789982,5.194200723616497,0.0939286760418902,-0.4857992763835028,78,-7.0,-7.2,-0.20000000000000018
59,C=C/C=C/C(C)c1ccc(CCNC(C)CCOP(=O)(O)O)c(O)c1,C=CC=Cc1ccc(CCNC(C)CCOP(=O)(O)O)cc1F,[7*]=CC(C)c1ccc([16*])c(O)c1,[7*]=Cc1ccc([16*])cc1F,0.0022484855726361,3.044900000000002,343.134873066,0.4494927523184692,3.3098516351019835,0.0965117066985969,-0.4801483648980174,7,-6.2,-6.6,-0.39999999999999947
9,CC(O)CCOc1ccc(C2C=CNCC2)c(CC(=O)O)c1,CCOC(=O)c1ccc(C2C=CNCC2)c(CC(=O)O)c1,[3*]OCCC(C)O,[6*]C(=O)OCC,0.0003236896882299,2.0810000000000004,289.131408088,0.8116862109356033,3.226630133333275,0.0932894474723633,-0.473369866666725,50,-6.5,-6.3,0.20000000000000018
35,C/C=C1/CCOCC(C2O[C@@]3(CCC2O)OC(CO)C(OC(=O)C(O)CC)C3O)O1,C/C=C1/CCOCC(C2O[C@@]3(CCC2O)OC(CO)C(C(=O)Nc2ccccc2Cl)C3O)O1,[3*]OC(=O)C(O)CC,[6*]C(=O)Nc1ccccc1Cl,4.9328518798574805e-05,1.5921999999999996,483.1659946,0.5083167676789982,5.221315363815007,0.0939286760418902,-0.4586846361849925,85,-7.0,-7.1,-0.09999999999999964
55,C=C/C=C/C(C(=O)O)C(N)C1OC2=CCC(C)C3CC(C=O)=CC(C(C)C1NC)C23,C=CC=Cc1ccc(CC2OC3=CCC(C)C4CC(C=O)=CC(C(C)C2NC)C34)cn1,[7*]=CC(C(=O)O)C([8*])N,[7*]=Cc1ccc(C[8*])cn1,0.0007989498553797,4.747500000000004,418.262028328,0.5351448041228396,5.407387916360474,0.0978309402087331,-0.4526120836395257,21,-7.4,-7.7,-0.2999999999999998
35,C/C=C1/CCOCC(C2O[C@@]3(CCC2O)OC(CO)C(OC(=O)C(O)CC)C3O)O1,C/C=C1/CCOCC(C2O[C@@]3(CCC2O)OC(CO)C(C(=O)Nc2cccc(Cl)c2)C3O)O1,[3*]OC(=O)C(O)CC,[6*]C(=O)Nc1cccc(Cl)c1,4.932269803248346e-05,1.5921999999999996,483.1659946,0.5083167676789982,5.231007671507316,0.0939286760418902,-0.4489923284926833,94,-7.0,-7.8,-0.7999999999999998
55,C=C/C=C/C(C(=O)O)C(N)C1OC2=CCC(C)C3CC(C=O)=CC(C(C)C1NC)C23,C=CC=Cc1cncc(CC2OC3=CCC(C)C4CC(C=O)=CC(C(C)C2NC)C34)c1,[7*]=CC(C(=O)O)C([8*])N,[7*]=Cc1cncc(C[8*])c1,0.0008055929210968,4.747500000000004,418.262028328,0.5351448041228396,5.419581972304529,0.0978309402087331,-0.4404180276954701,6,-7.4,-7.4,0.0
9,CC(O)CCOc1ccc(C2C=CNCC2)c(CC(=O)O)c1,COC(=O)c1ccc(C2C=CNCC2)c(CC(=O)O)c1,[3*]OCCC(C)O,[6*]C(=O)OC,0.0003247865242883,1.6909,275.115758024,0.8178088912692298,3.264219415761345,0.0994121278059898,-0.435780584238655,39,-6.5,-6.4,0.09999999999999964
71,CC(C/C=C/C1CCCCC1=O)NC(=O)C(CCC(N)C1=CC=NC(=O)C1)C(=O)O,NC(CCC(C(=O)O)C(=O)NC(=O)c1ccc(C=CC2CCCCC2=O)cc1)C1=CC=NC(=O)C1,[4*]C(C)CC=[7*],[1*]C(=O)c1ccc(C=[7*])cc1,0.0022765067405998,2.4513000000000007,479.205635648,0.4592871716467285,4.353364160672003,0.0927091678157611,-0.4266358393279974,9,-8.2,-7.7,0.4999999999999991
68,NC(CCC(=O)O)CC(CO)OC(C(=O)O)C1C=C(C(=O)O)C=CO1,COc1nnc(C(OC(CO)CC(N)CCC(=O)O)C(=O)O)s1,[13*]C1C=C(C(=O)O)C=CO1,[14*]c1nnc(OC)s1,6.153051072033122e-05,-0.367899999999999,349.09437094799995,0.4138861753094938,4.26591316047012,0.0964161738530481,-0.4240868395298802,76,-5.9,-6.3,-0.39999999999999947
64,CC(C)CC/C=C/C(C)c1ccccc1,CC(C)CCC=C1CCN(Cc2ccccc2)CC1,[7*]=CC([8*])C,[7*]=C1CCN(C[8*])CC1,0.0023172192741185,4.645000000000004,257.214349864,0.6942766263347447,2.2055549575105324,0.0917233128932496,-0.4144450424894677,21,-5.6,-5.7,-0.10000000000000053
7,CC/C=C/C=C/CCNC(=O)OC(CC)C(Cc1ccccc1)C(=O)O,CC/C=C/C=C/CCNC(=O)OC(COC)c1ccccc1,[4*]C(CC)C(C[8*])C(=O)O,[4*]C([8*])COC,5.617868373519741e-05,4.012800000000003,303.18344366,0.5535932638881248,3.1123297248094115,0.0986721616501691,-0.4076702751905889,82,-5.5,-5.6,-0.09999999999999964
85,CCCC(CCCCCc1ccccc1OP(=O)(O)O)C(=O)O,CCCC(CCCCCc1ccccc1C(=O)Nc1ccccc1)C(=O)O,[3*]OP(=O)(O)O,[6*]C(=O)Nc1ccccc1,8.426217391388491e-05,5.542700000000005,367.214743788,0.5122522468804418,2.392396065724414,0.0952954346312391,-0.4076039342755857,82,-5.9,-6.6,-0.6999999999999993
9,CC(O)CCOc1ccc(C2C=CNCC2)c(CC(=O)O)c1,CC(C)CCOc1ccc(C2C=CNCC2)c(CC(=O)O)c1,[4*]CCC(C)O,[4*]CCC(C)C,0.0008363014203496,3.329200000000001,303.18344366,0.8109573666895644,3.292833624135893,0.0925606032263244,-0.4071663758641071,12,-6.5,-6.4,0.09999999999999964
36,C/C=C\C=C\C(CCC(=O)O)CC(C)C1CC/C(=N/C(C(=O)O)c2ccccc2)C1,C/C=C\C=C\C(CCC(=O)O)CC(C)c1cncn1[C@@H](C)c1ccccc1,[8*]C(/N=C1/CCC([15*])C1)C(=O)O,[8*][C@H](C)n1cncc1[14*],4.620680556399748e-05,5.599300000000005,366.2307282,0.5569154207348919,4.013471374931799,0.0991414174118882,-0.4065286250682005,77,-5.9,-6.0,-0.09999999999999964
36,C/C=C\C=C\C(CCC(=O)O)CC(C)C1CC/C(=N/C(C(=O)O)c2ccccc2)C1,C/C=C\C=C\C(CCC(=O)O)CC(C)c1cncn1C(C)c1ccccc1,[8*]C(/N=C1/CCC([15*])C1)C(=O)O,[8*]C(C)n1cncc1[14*],4.617251397576183e-05,5.599300000000005,366.2307282,0.5569154207348919,4.013471374931799,0.0991414174118882,-0.4065286250682005,79,-5.9,-6.1,-0.1999999999999993
46,NC(C(=O)NC(C(=O)O)c1ccccc1)c1cccc(OP(=O)(O)O)c1,O=C(O)C(NCCc1cccc(OP(=O)(O)O)c1)c1ccccc1,[1*]C(=O)C([8*])N,[4*]CC[8*],0.0001453295117244,2.1160999999999994,351.08717392600005,0.538356356074275,2.6656952319702274,0.0918059814373853,-0.4043047680297729,51,-8.0,-7.3,0.7000000000000002
80,C/C=C\C1C(C)CCC(C(=O)O)O[C@](CO)(OCC)C(O)CCC1C(=O)OC(C)=O,C/C=C\C1C(C)CCC(C(=O)O)O[C@](CO)(OCC)C(O)CCC1C(=O)Nc1ccc(Cl)cc1,[6*]C(=O)OC(C)=O,[6*]C(=O)Nc1ccc(Cl)cc1,5.791281728306785e-05,3.8529000000000018,497.218030172,0.4213682849766836,4.91655787631497,0.0955134858830537,-0.4034421236850303,98,-6.4,-6.6,-0.1999999999999993
33,C/C=C/C1CCC(C(O)C2CCCOC2=O)CC(N)C(C2CO[C@](C)(C=O)O2)OC1,C/C=C/C1CCC(C(O)C2CCCCCCCC2)CC(N)C(C2CO[C@](C)(C=O)O2)OC1,[15*]C1CCCOC1=O,[15*]C1CCCCCCCC1,0.0001570070162415,4.133300000000003,451.3297735399999,0.4823261197101402,5.379285944923751,0.0973987511300871,-0.3907140550762493,25,-7.6,-7.1,0.5
71,CC(C/C=C/C1CCCCC1=O)NC(=O)C(CCC(N)C1=CC=NC(=O)C1)C(=O)O,NC(CCC(C(=O)O)C(=O)NC(=O)c1cccc(C=CC2CCCCC2=O)c1)C1=CC=NC(=O)C1,[4*]C(C)CC=[7*],[1*]C(=O)c1cccc(C=[7*])c1,0.0022591531742364,2.4513000000000007,479.205635648,0.4592871716467285,4.401168713262269,0.0927091678157611,-0.3788312867377312,13,-8.2,-8.6,-0.40000000000000036
27,O=C(O)NC1COC(OC(CO)C(=O)O)COC1=O,NC(=O)CCOC1COC(=O)C(NC(=O)O)CO1,[4*]C(CO)C(=O)O,[4*]CCC(N)=O,0.0001167979644378,-1.5858999999999992,262.08010078800004,0.5078623889210439,3.68491958087848,0.090081360011339,-0.3750804191215202,40,-6.6,-6.5,0.09999999999999964
46,NC(C(=O)NC(C(=O)O)c1ccccc1)c1cccc(OP(=O)(O)O)c1,COc1cccc(CNC(=O)C(N)c2cccc(OP(=O)(O)O)c2)c1,[4*]C(C(=O)O)c1ccccc1,[4*]Cc1cccc(OC)c1,0.000532011676114,1.4828999999999997,366.09807295799993,0.5459497440351591,2.6997041398719226,0.0993993693982693,-0.3702958601280777,10,-8.0,-7.7,0.2999999999999998
68,NC(CCC(=O)O)CC(CO)OC(C(=O)O)C1C=C(C(=O)O)C=CO1,COc1nsc(C(OC(CO)CC(N)CCC(=O)O)C(=O)O)n1,[13*]C1C=C(C(=O)O)C=CO1,[14*]c1nc(OC)ns1,6.140948971733451e-05,-0.367899999999999,349.094370948,0.4138861753094938,4.332149140619002,0.0964161738530481,-0.3578508593809983,96,-5.9,-6.0,-0.09999999999999964
96,CC1=NC(CCC(O)C(O)COC(CO)C(=O)O)C(=O)N=C1,CNC(=O)NCC(O)C(O)CCC1N=C(C)C=NC1=O,[3*]OC(CO)C(=O)O,[5*]NC(=O)NC,8.921941480366513e-05,-1.142099999999999,284.14845512,0.4918465174553945,4.422480911589129,0.0922615090706168,-0.3575190884108714,76,-6.1,-6.5,-0.40000000000000036
68,NC(CCC(=O)O)CC(CO)OC(C(=O)O)C1C=C(C(=O)O)C=CO1,COc1nc(C(OC(CO)CC(N)CCC(=O)O)C(=O)O)ns1,[13*]C1C=C(C(=O)O)C=CO1,[14*]c1nsc(OC)n1,6.161343480926007e-05,-0.3678999999999982,349.09437094800006,0.4138861753094938,4.334252862703371,0.0964161738530481,-0.3557471372966292,69,-5.9,-5.8,0.10000000000000053
27,O=C(O)NC1COC(OC(CO)C(=O)O)COC1=O,CNC(=O)COC1COC(=O)C(NC(=O)O)CO1,[4*]C(CO)C(=O)O,[4*]CC(=O)NC,0.0001168471353594,-1.7152999999999987,262.08010078800004,0.5149678462320917,3.7055051381783226,0.0971868173223868,-0.354494861821677,35,-6.6,-6.5,0.09999999999999964
64,CC(C)CC/C=C/C(C)c1ccccc1,CC(C)CCC=Cc1cccn1-c1ccccc1,[7*]=CC([8*])C,[7*]=Cc1cccn1[9*],0.002089348854497,4.926700000000004,239.167399672,0.6971028099452384,2.276450633092505,0.0945494965037433,-0.3435493669074949,47,-5.6,-5.5,0.09999999999999964
73,O=C(NCc1ccncc1)C1CCNC(C/C=C/c2ccccc2O)C1,COc1ccccc1CC1CC(C(=O)NCc2ccncc2)CCN1,[8*]C/C=C/c1ccccc1O,[8*]Cc1ccccc1OC,0.0001414556172676,2.3173,339.19467704000004,0.8477419191099962,2.9974262927642474,0.0996504739526976,-0.3425737072357524,75,-7.3,-7.0,0.2999999999999998
58,NC(Cc1ccccc1)C(=O)OC(CCc1ccccc1)C(=O)O,O=C(OC(CCc1ccccc1)C(=O)O)c1cccnc1,[1*]C(=O)C(N)Cc1ccccc1,[1*]C(=O)c1cccnc1,0.0002629608788993,2.3244000000000007,285.10010796000006,0.8241908429796154,2.3782220759669137,0.098728559167834,-0.3317779240330853,14,-6.0,-5.9,0.09999999999999964
58,NC(Cc1ccccc1)C(=O)OC(CCc1ccccc1)C(=O)O,O=C(OC(CCc1ccccc1)C(=O)O)c1ccncc1,[1*]C(=O)C(N)Cc1ccccc1,[1*]C(=O)c1ccncc1,0.0002630414091981,2.3244000000000007,285.10010796,0.8241908429796154,2.385038999043836,0.098728559167834,-0.3249610009561632,10,-6.0,-6.2,-0.20000000000000018
34,O=C1CC(O)C(C(O)C(=O)O)OC(=O)CCO1,O=C1CC(O)C(CCO)OC(=O)CCO1,[8*]C(O)C(=O)O,[8*]CCO,4.970183363184333e-05,-1.0215,218.079038168,0.5760604456555192,4.11083560057339,0.0959855997084782,-0.30916439942661,27,-6.5,-5.9,0.5999999999999996
